name,styleUrl,longitude,latitude,ward
"MAHALAXMI RACE COURSE, ZENITH HOUSE",0,72.820819,18.979917,    E   
"AMBIKA MILL BUS STATION, H.U.RAKHANGI CHOWK",0,72.822816,18.988013,    E   
RAM GANESH GADKARI CHOWK (DADAR-W),0,72.840851,19.026086,    F/N   
RAM GANESH GADKARI CHOWK (DADAR-W),0,72.840927,19.026628,    F/N   
"PAREL S.T.DEPOT, SANT ROHIDAS CHOWK",0,72.832494,19.011563,    G/S   
"PAREL S.T.DEPOT, SANT ROHIDAS CHOWK",0,72.832503,19.011599,    G/S   
"PAREL S.T.DEPOT, SANT ROHIDAS CHOWK",0,72.831564,19.010532,    G/S   
"PAREL S.T.DEPOT, SANT ROHIDAS CHOWK",0,72.83242,19.009268,    G/S   
"JARIMARI MATA MANDIR, S.T.OFFICE (WORLI)",0,72.815697,18.995,    G/S   
"PAREL S.T.DEPOT, SANT ROHIDAS CHOWK",0,72.832734,19.00832,    G/S   
"PAREL S.T.DEPOT, SANT ROHIDAS CHOWK",0,72.833654,19.009684,    G/S   
SAYANI MARG,0,72.831516,19.010613,    G/S   
VEER HUTATMA BHAI KOTWAL UDYAN (PLAZA),0,72.842392,19.02297,    F/N   
"MAHAPOUR NIWAS, SHIVAJI PARK",0,72.83761,19.028794,    F/N   
"MAHAPOUR NIWAS, SHIVAJI PARK",0,72.837667,19.028831,    F/N   
"MAHAPOUR NIWAS, SHIVAJI PARK",0,72.837572,19.028885,    F/N   
SIMPLEX MILL,0,72.831236,18.97978,    E   
SHREE RAM MILL,0,72.822048,18.997362,    G/S   
STANDARD MILL,0,72.826652,19.012634,    G/S   
VEER HUTATMA BHAI KOTWAL UDYAN (PLAZA),0,72.84265,19.021073,    F/N   
VEER HUTATMA BHAI KOTWAL UDYAN (PLAZA),0,72.842137,19.021109,    F/N   
VEER HUTATMA BHAI KOTWAL UDYAN (PLAZA),0,72.842584,19.020902,    F/N   
"VENUS BUILDING, WATUMAL ENGG.COLLEGE",0,72.811796,19.002034,    G/S   
