name,styleUrl,longitude,latitude,ward
SHASTRI NAGAR (JUHU),0,72.834517,19.087243,NW-1
SHOPPERS STOP (ANDHERI-W),0,72.843268,19.115381,NW-27
STATE BANK (VILE PARLE-W),0,72.829852,19.110602,NW-14
SUKHMANI SOCIETY,0,72.829859,19.113231,NW-14
VAIKUNTH DHAM,0,72.823176,19.115367,NW-14
YASHODHAM,0,72.832901,19.088073,NW-1
MITHIBAI COLLEGE,0,72.836937,19.103597,NW-27
BHARAT NAGAR (VESAVE),0,72.822579,19.125413,NW-14
"D.N.NAGAR, BARFIWALA VIDYALAYA",0,72.830497,19.123928,NW-14
INDIAN OIL NAGAR (ANDHERI-W),0,72.831046,19.127307,NW-14
ESIC NAGAR,0,72.829904,19.121979,NW-14
AZAD NAGAR (KALINA),0,72.866688,19.078653,NW-32
AMAR BRASS & STEEL COMPANY,0,72.865627,19.071976,NW-32
"ANJANABAI MAGAR CHOWK, SWATANTRA SAINIK SURVE CHOWK",0,72.875604,19.071466,NW-32
BAIL BAZAR,0,72.881013,19.086438,NW-32
BUDDHA NAGAR (KURLA-W),0,72.880326,19.073456,NW-32
CHIRAG NAGAR,0,72.898117,19.08658,NW-28
DATTA MANDIR (VAKOLA),0,72.8532333,19.083,NW-1
DR.AMBEDKAR BHAVAN (VIDYA NAGARI),0,72.854653,19.072169,NW-32
GAONDEVI JUNCTION (VAKOLA),0,72.8535667,19.0824,NW-1
GOL BUILDING (KURLA-W),0,72.874998,19.067446,NW-32
"INDIRA NAGAR (KAMANI), KHALAI VILLAGE",0,72.894366,19.081971,NW-28
JARIMARI (SAKINAKA),0,72.883413,19.094687,NW-20
KALINA,0,72.862897,19.077775,NW-32
KALPANA CINEMA,0,72.878528,19.077285,NW-32
KAMANI,0,72.885489,19.084669,NW-28
PHOENIX MILL,0,72.825583,18.995107,NW-33
"PODDAR HOSPITAL (WORLI), SIDDHARTH NAGAR",0,72.815671,19.002706,NW-33
POLICE CAMP (WORLI),0,72.814431,19.008053,NW-33
PRABHADEVI,0,72.829396,19.013656,NW-33
PRABODHANKAR THACKERAY CHOWK (DADAR-W),0,72.836562,19.020049,NW-8
RANADE ROAD (DADAR-W),0,72.837559,19.021603,NW-8
"DR.RAVINDRA KULKARNI CHOWK, SASMIRA (WORLI)",0,72.820356,19.010127,NW-33
"MAHALAXMI RACE COURSE, ZENITH HOUSE",0,72.820297,18.979708,NW-13
"AMBIKA MILL BUS STATION, H.U.RAKHANGI CHOWK",0,72.822816,18.988013,NW-33
RAM GANESH GADKARI CHOWK (DADAR-W),0,72.840851,19.026086,NW-8
"PAREL S.T.DEPOT, SANT ROHIDAS CHOWK",0,72.832494,19.011563,NW-33
"JARIMARI MATA MANDIR, S.T.OFFICE (WORLI)",0,72.815697,18.995,NW-33
SAYANI MARG,0,72.831516,19.010613,NW-33
VEER HUTATMA BHAI KOTWAL UDYAN (PLAZA),0,72.842392,19.02297,NW-8
"MAHAPOUR NIWAS, SHIVAJI PARK",0,72.83761,19.028794,NW-8
SIMPLEX MILL,0,72.831236,18.97978,NW-13
SHREE RAM MILL,0,72.822048,18.997362,NW-33
STANDARD MILL,0,72.826652,19.012634,NW-33
"VENUS BUILDING, WATUMAL ENGG.COLLEGE",0,72.811796,19.002034,NW-33
WORLI DAIRY,0,72.811496,18.998185,NW-33
WORLI DEPOT,0,72.819888,19.013966,NW-33
WORLI VILLAGE,0,72.820731,19.016713,NW-33
KAMGAR STADIUM (PRABHADEVI),0,72.835362,19.011456,NW-33
WORLI SEA FACE POST OFFICE,0,72.81885,19.016504,NW-33
PASSPORT OFFICE (WORLI),0,72.820916,19.011356,NW-33
DADAR STATION (W),0,72.841645,19.018317,NW-8
"VANITA SAMAJ, CHAITYABHOOMI",0,72.83687,19.027267,NW-8
WORLI SEA FACE (S),0,72.817645,19.015789,NW-33
WORLI POST OFFICE,0,72.814956,19.005108,NW-33
KOHINOOR PPL GATE NO.2,0,72.843132,19.02466,NW-8
BABASAHEB WORLIKAR CHOWK (CENTURY BAZAAR),0,72.822349,19.012387,NW-33
BAWLA MASJID,0,72.831187,18.994514,NW-33
"S BRIDGE, MANDLIK CHOWK",0,72.831986,18.981036,NW-13
"CATERING COLLEGE, SURYAVANSHI HALL",0,72.834546,19.023146,NW-8
CITYLIGHT CINEMA,0,72.841799,19.030044,NW-8
KABUTARKHANA (DADAR-W),0,72.840154,19.018669,NW-8
DADAR POLICE STATION,0,72.835379,19.014203,NW-8
DEEPAK CINEMA,0,72.831994,19.006919,NW-33
DHAIRYAVAN CHOWK,0,72.8427582,19.0313458,NW-8
DOORDARSHAN (WORLI),0,72.818128,19.005942,NW-33
DAWN MILL,0,72.828097,18.998144,NW-33
PRABHADEVI STATION (W),0,72.835337,19.007237,NW-33
"FLORA HOTEL, WATUMAL ENGG.COLLEGE",0,72.813562,19.00321,NW-33
COMRADE GULABRAO GANACHARYA CHOWK,0,72.831108,18.985778,NW-13
DAINIK SHIVNER,0,72.822705,18.99608,NW-33
JIJAMATA NAGAR (WORLI),0,72.820105,18.993269,NW-33
KAMALA MILL,0,72.82986,19.00296,NW-33
"KHEDGALLI, SIDDHIVINAYAK MANDIR (PRABHADEVI)",0,72.832634,19.014716,NW-33
LOWER PAREL STATION,0,72.831252,18.996899,NW-33
LOWER PAREL WORKSHOP,0,72.831163,19.000901,NW-33
MAHALAXMI STATION,0,72.824481,18.983397,NW-13
MHATRE PEN COMPANY,0,72.837498,19.013563,NW-8
N.M.JOSHI MARG POLICE STATION,0,72.831465,18.991353,NW-33
NEHRU PLANETARIUM (WORLI),0,72.813783,18.98956,NW-33
NARAYAN PUJARI NAGAR (WORLI),0,72.813797,18.994619,NW-33
NATIONAL ASSOCIATION FOR BLIND (NAB),0,72.816234,19.011018,NW-33
COMRADE P.K.KURNE CHOWK (WORLI ),0,72.820921,19.004896,NW-33
SHIVAJI PARK GYMKHANA,0,72.837128,19.025759,NW-8
BALBHARATI (KANDIVALI-W),0,72.848761,19.200386,NW-6
RANA & SONS,0,72.826835,19.210417,NW-30
CHARKOP POLICE STATION,0,72.820898,19.214487,NW-30
CHARKOP VILLAGE,0,72.821017,19.208715,NW-23
"ADITYA APARTMENT, CHIKOOWADI",0,72.840741,19.220129,NW-30
DAHANUKAR WADI,0,72.837237,19.20773,NW-30
CHARKOP EKDANT SOCIETY,0,72.820267,19.217983,NW-30
EKTA NAGAR (KANDIVALI-W),0,72.837074,19.213785,NW-30
GANESH CHOWK,0,72.834353,19.2154,NW-30
GANESH MANDIR (KANDIVALI-W),0,72.822133,19.215635,NW-30
SHIMPAVALI NAKA,0,72.852921,19.22347,NW-35
